Timestamp,Agency,Area,CarParkID,Development,Location,LotType
2020-08-19 19:09:08,HDB,,B9,BLK 402/403 BEDOK NORTH AVENUE 3,1.330172709 103.9338152,C
2020-08-19 19:09:08,HDB,,C5,"BLK 358-360,362-363,366-367 CLEMENTI AVE 2",1.313102659 103.7695739,H
2020-08-19 19:09:08,HDB,,C5,"BLK 358-360,362-363,366-367 CLEMENTI AVE 2",1.313102659 103.7695739,C
2020-08-19 19:09:08,HDB,,C5,"BLK 358-360,362-363,366-367 CLEMENTI AVE 2",1.313102659 103.7695739,Y
2020-08-19 19:09:08,HDB,,C6,BLK 328-334 CLEMENTI AVE 2,1.314488114 103.7676912,C
2020-08-19 19:09:08,HDB,,C7,BLK 349-355 CLEMENTI AVE 2,1.314842819 103.7705785,C
2020-08-19 19:09:08,HDB,,C8,BLK 335/338 CLEMENTI AVE 2,1.316674657 103.7686311,C
2020-08-19 19:09:08,HDB,,C9,BLK 340/342/343/346-348 CLEMENTI AVE 5,1.317649249 103.7703123,Y
2020-08-19 19:09:08,HDB,,C9,BLK 340/342/343/346-348 CLEMENTI AVE 5,1.317649249 103.7703123,H
2020-08-19 19:09:08,HDB,,C9,BLK 340/342/343/346-348 CLEMENTI AVE 5,1.317649249 103.7703123,C
2020-08-19 19:09:08,HDB,,CY,BLK 269/269A/269B CHENG YAN COURT CAR PARK,1.300626028 103.8536649,C
2020-08-19 19:09:08,HDB,,H3,BLK 87 ZION RD,1.291008687 103.8325154,C
2020-08-19 19:09:08,HDB,,H4,BLK 22 HAVELOCK RD,1.288093897 103.8293714,C
2020-08-19 19:09:08,HDB,,H6,BLK 77/79 GANGES AVENUE,1.291369664 103.8289836,C
2020-08-19 19:09:08,HDB,,H8,BLKS 4-8 TAMAN HO SWEE,1.287726965 103.8309221,Y
2020-08-19 19:09:08,HDB,,H8,BLKS 4-8 TAMAN HO SWEE,1.287726965 103.8309221,H
2020-08-19 19:09:08,HDB,,H8,BLKS 4-8 TAMAN HO SWEE,1.287726965 103.8309221,C
2020-08-19 19:09:08,HDB,,J1,BLK 101/107 JURONG EAST ST 13,1.336429723 103.7380983,C
2020-08-19 19:09:08,HDB,,J2,BLK 108/110 JURONG EAST ST 13,1.33860776 103.7367713,C
2020-08-19 19:09:08,HDB,,J3,BLK 111/116 JURONG EAST ST 13,1.339494837 103.7354848,C
2020-08-19 19:09:08,HDB,,J4,BLK 201/206 JURONG EAST ST 21,1.337530169 103.7419026,C
2020-08-19 19:09:08,HDB,,J5,BLK 207/208 JURONG EAST ST 21,1.338314475 103.7424182,C
2020-08-19 19:09:08,HDB,,J6,BLK 209/214 JURONG EAST ST 21,1.3390681 103.7388514,C
2020-08-19 19:09:08,HDB,,J7,BLK 215A/231 JURONG EAST ST 21,1.341543873 103.7380331,C
2020-08-19 19:09:08,HDB,,J8,BLK 232/240 JURONG EAST ST 21,1.340430194 103.741574,C
2020-08-19 19:09:08,HDB,,J9,BLK 241/245 JURONG EAST ST 24,1.342122435 103.7420009,C
2020-08-19 19:09:08,HDB,,K2,"BLK 9,10,12 PINE CLOSE",1.308736475 103.8823513,C
2020-08-19 19:09:08,HDB,,K7,BLK 51 OLD AIRPORT ROAD,1.308894519 103.8860169,C
2020-08-19 19:09:08,HDB,,L1,BLK 415-420 LOR LEW LIAN,1.349505832 103.8753546,C
2020-08-19 19:09:08,HDB,,M1,BLK 85 TO 94/92A PIPIT ROAD,1.323074781 103.8864364,C
2020-08-19 19:09:08,HDB,,M3,BLK 19 TO 21/23/24/30/32 BALAM RD,1.330680856 103.8857074,C
2020-08-19 19:09:08,HDB,,M4,BLK 22/34/36 CIRCUIT RD,1.329022794 103.8876597,C
2020-08-19 19:09:08,HDB,,P1,BLK 196 PUNGGOL FIELD,1.399325523 103.907016,C
2020-08-19 19:09:08,HDB,,P2,BLK 199 PUNGGOL FIELD,1.400096829 103.9060155,C
2020-08-19 19:09:08,HDB,,P3,BLK 101 PUNGGOL FIELD,1.398456837 103.9057745,C
2020-08-19 19:09:08,HDB,,P4,BLK 105 EDGEFIELD PLAINS,1.397227162 103.9056229,C
2020-08-19 19:09:08,HDB,,P5,BLK 107 PUNGGOL FIELD,1.396877555 103.9076419,C
2020-08-19 19:09:08,HDB,,P6,BLK 109 PUNGGOL FIELD,1.395368569 103.9094623,C
2020-08-19 19:09:08,HDB,,P7,BLK 119 EDGEFIELD PLAINS,1.395427967 103.9064702,C
2020-08-19 19:09:08,HDB,,P8,BLK 126 EDGEDALE PLAINS,1.394228446 103.9109139,C
